name,id,template,numeric_id,variant_group,sort_order,sort_feature,intro_year,intro_month,year_order,enable_param,Type,roadtype,top_speed,model_life,vehicle_life,loading_speed,weight,power,reliability,capacity,running_cost_bias,engine,smoke_location,text,has_flatbed,has_covered_goods,has_alternate_goods,has_year_dependent_cargo,has_open_livestock,has_piece_goods_tanker,has_alternate_livery,trailer,custom_cargo_aging,limiter_speed,articulated_graphics,articulated_visual_effects,articulated_capacities,articulated_configuration,articulated_lengths,layout,ttd_len,is_tram,horse_type,cost,run_cost_modifier,running_cost,kmish_speed,kmish_limiter_speed,cars,additional_power_units,articulated_units,virtual_units,capacity_per_unit,capacity_per_trailer,length,width,height,voxel_size,notes
FC Hibberd Planet,fc_hibberd_planet,articulated_lorry,11481,,11481,FEAT_ROADVEHS,1948,1,1,enable_trams,Cargo Tram,RAIL,25,-1,30,5,22,123,20,60,1,diesel,-1,"FC Hibberd built many different types of locomotive under the ""Planet"" nameplate, often using a Dorman engine.",yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4,5,6","4,5,5,5,5,5","fc_hibberd_planet,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",4,1,,49,,51,20,0,5,,6,6,10,12,6,,,56x0x0,
Drewry Shunter,drewry_shunter,articulated_lorry,11522,,11522,FEAT_ROADVEHS,1952,1,2,enable_trams,Cargo Tram,RAIL,27,-1,26,5,31,152,20,60,1,diesel,-1,Diesel shunters with special tramway adaptations were used to replace steam trams in East Anglia.,yes,,yes,yes,,,,tram_trailer,,,,1,,"1,2,3,4,5,6","5,5,5,5,5,5","drewry_shunter,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed,tram_trailer_goods,tram_trailer_flatbed",5,1,,50,,56,22,0,5,,6,6,10,12,7,,,65x0x0,
Prewar Trailer,prewar_trailer,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,prewar_trailer_flatbed,8,,,,,,,,,,,,,,,,,,
Scammell 7.5 Ton,scammell_75_ton,articulated_lorry,3201,,3201,FEAT_ROADVEHS,1920,4,1,enable_lorries,Heavy Goods,ROAD,18,20,18,5,5,80,20,28,1,diesel,-4,"The Scammell 7.5 ton had a low axle weight, allowing it to carry heavier loads than contemporary lorries.",,,,,yes,,,prewar_trailer,,,,"1,",,"1,2","2,6","scammell_75_ton,prewar_trailer_flatbed",2,,,23,,29,15,0,,,2,2,14,28,3.4,2.0,2.5,32x29x24,
Beardmore Python,beardmore_python,articulated_lorry,3321,,3321,FEAT_ROADVEHS,1932,6,1,enable_lorries,Heavy Goods,ROAD,32,20,15,5,4.5,65,20,30,1,diesel,-4,Beardmore was a taxi manufacturer that bought the rights to manufacture a French-designed tractor unit.,,,,,yes,,,prewar_trailer,,,,"1,",,"1,2","2,6","beardmore_python,prewar_trailer_flatbed",2,,,27,,41,26,0,,,2,2,15,30,3.4,2.0,2.5,32x29x24,
Karrier Bantam,karrier_bantam,articulated_lorry,3482,,3482,FEAT_ROADVEHS,1948,7,2,enable_lorries,Heavy Goods,ROAD,38,18,14,5,4,50,20,30,1,diesel,-4,"Karrier built smaller lorries and tractor units after being taken over by the Rootes Group in 1934, with larger vehicles built by sister company Commer.",,,,,yes,,,prewar_trailer,,,,"1,",,"1,2","2,6","karrier_bantam,prewar_trailer_flatbed",2,,,27,,43,31,0,,,2,2,15,30,3.4,2.0,2.5,32x29x24,
1970s Trailer,t45_trailer,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,t45_trailer_goods,8,,,,,,,,,,,,,,,,,,
Leyland Beaver,leyland_beaver,articulated_lorry,3651,,3651,FEAT_ROADVEHS,1965,6,1,enable_lorries,Heavy Goods,ROAD,55,20,15,5,9.5,140,20,36,1,diesel,-4,"The Leyland Beaver was one of many trucks fitted with the ""Ergomatic"" cab design, designed for efficient use of space and driver comfort.",,yes,,,,,,t45_trailer,,,,1,,"1,2,3","3,8,2","leyland_beaver,t45_trailer_goods",2,,,38,,74,44,0,,,2,3,12,36,,,,0x0x0,
Guy Big J4T,guy_big_j4,articulated_lorry,3641,,3641,FEAT_ROADVEHS,1964,9,1,enable_lorries,Heavy Goods,ROAD,57,20,15,5,9.5,192,20,36,1,diesel,-4,"Designed for motorway operation, the Guy Big J featured a high-revving Cummins engine. This is the articulated version.",,yes,,,,,,t45_trailer,,56,,1,,"1,2,3","3,8,2","guy_big_j4,t45_trailer_goods",2,,,39,,81,46,45,,,2,3,12,36,,,,0x0x0,
ERF A-Series,erf_a_series,articulated_lorry,3721,,3721,FEAT_ROADVEHS,1972,3,1,enable_lorries,Heavy Goods,ROAD,55,22,18,5,9.5,220,20,39,1,diesel,-4,"The A Series was a new, modular chassis design. All but a handful were built as 4x2 tractor units.",,yes,,,,,,t45_trailer,,56,,1,,"1,2,3","3,8,2","erf_a_series,t45_trailer_goods",2,,,47,,83,44,45,,,2,3,13,39,,,,0x0x0,
Volvo F10,volvo_f10,articulated_lorry,3771,,3771,FEAT_ROADVEHS,1977,1,1,enable_lorries,Heavy Goods,ROAD,60,16,18,5,9.5,280,20,39,1,diesel,-3,The Volvo F10 spearheaded a wave of powerful European trucks arriving in the UK.,,yes,,,,,,t45_trailer,,56,,1,,"1,2,3","3,8,2","volvo_f10,t45_trailer_goods",2,,,49,,92,48,45,,,2,3,13,39,,,,0x0x0,280hp
AEC Mandator V8,aec_mandator,articulated_lorry,3681,,3681,FEAT_ROADVEHS,1968,1,1,enable_lorries,Heavy Goods,ROAD,68,12,15,5,10,247,25,36,1,powerful,-3,"The AEC Mandator V8 had a powerful engine for its day, and drivers would often claim high speeds even with a fully loaded lorry.",,yes,,,,,,t45_trailer,,56,,1,,"1,2,3","3,8,2","aec_mandator,t45_trailer_goods",2,,,42,15,110,55,45,,,2,3,12,36,,,,0x0x0,
Leyland T45,leyland_t45,articulated_lorry,3801,,3801,FEAT_ROADVEHS,1980,1,1,enable_lorries,Heavy Goods,ROAD,62,20,17,5,11.5,350,20,42,1,coach,-3,The Leyland T45 was an attempt to revitalise the commercial vehicles offering of British Leyland. It was a common sight in the '80s and early '90s.,,yes,,,,,,t45_trailer,,56,,1,,"1,2,3","3,8,2","leyland_t45,t45_trailer_goods",2,,,49,,100,50,45,,,2,3,14,42,,,,0x0x0,
Modern Trailer,modern_trailer,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,modern_trailer_goods,8,,,,,,,,,,,,,,,,,,
Scania T142,scania_t142,articulated_lorry,3802,,3802,FEAT_ROADVEHS,1980,9,2,enable_lorries,Heavy Goods,ROAD,60,16,18,5,14,380,18,45,1,powerful,-3,"The T142 was a bonneted version of Scania's 2 series. In the UK it was most commonly deployed on bedroom carpets, as a popular Matchbox toy.",,yes,,,,,,modern_trailer,,56,,1,,"1,2,3","6,8,2","scania_t142,modern_trailer_goods",6,,,53,,101,48,45,,,2,3,15,45,,,,0x0x0,
Scania 3 Series,scania_3_series,articulated_lorry,3871,,3871,FEAT_ROADVEHS,1987,1,1,enable_lorries,Heavy Goods,ROAD,65,14,15,5,12,420,18,45,1,coach,-3,The Scania 3 series has an excellent reputation for reliability and was well-regarded in its era.,,yes,,,,,,modern_trailer,,56,,1,,"1,2,3","3,8,2","scania_3_series,modern_trailer_goods",2,,,46,,109,52,45,,,2,3,15,45,,,,0x0x0,
Scania 4 Series,scania_4_series,articulated_lorry,3951,,3951,FEAT_ROADVEHS,1995,6,1,enable_lorries,Heavy Goods,ROAD,68,12,15,5,12.5,420,20,48,1,coach,-3,"The Scania 4 series modernised the 3 series design, and could be configured with powerful V8 engines.",,yes,,,,,,modern_trailer,,56,,1,,"1,2,3","3,8,2","scania_4_series,modern_trailer_goods",2,,,49,,114,55,45,,,2,3,16,48,,,,0x0x0,
Scania R Series,scania_r_series,articulated_lorry,4041,,4041,FEAT_ROADVEHS,2004,6,1,enable_lorries,Heavy Goods,ROAD,72,-1,15,5,12.5,580,20,54,1,coach,-3,"The Scania R series continues Scania's truck line, with the option of powerful V8s.",,yes,,,,,,modern_trailer,,56,,1,,"1,2,3","3,8,2","scania_r_series,modern_trailer_goods",2,,,54,,130,58,45,,,2,3,18,54,,,,0x0x0,
Renault Magnum,renault_magnum,articulated_lorry,4011,,4011,FEAT_ROADVEHS,2001,1,1,enable_lorries,Heavy Goods,ROAD,70,14,14,5,12.5,440,20,51,0.97,diesel,-3,The Renault Magnum has aerodynamic design ideas from Renault prototypes to reduce fuel consumption.,,yes,,,,,,modern_trailer,,56,,1,,"1,2,3","3,8,2","renault_magnum,modern_trailer_goods",2,,,50,,116,56,45,,,2,3,17,51,,,,0x0x0,
Volvo FM9,volvo_fm9,articulated_lorry,4052,,4052,FEAT_ROADVEHS,2005,6,2,enable_lorries,Heavy Goods,ROAD,70,-1,18,5,12,380,20,54,1,powerful,-3,The Volvo FM range is part of Volvo's strategy to build a global family of trucks.,,yes,,,,,,modern_trailer,,56,,1,,"1,2,3","3,8,2","volvo_fm9,modern_trailer_goods",2,,,62,,119,56,45,,,2,3,18,54,,,,0x0x0,380hp
2020s Trailer,2020s_trailer,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,2020s_trailer_goods,8,,,,,,,,,,,,,,,,,,
Renault T evolution,renault_t_evo,articulated_lorry,4215,,4215,FEAT_ROADVEHS,2021,11,1,enable_lorries,Heavy Goods,ROAD,74,-1,18,5,12,460,20,54,0.95,diesel,-3,"The Renault T range was revised in 2021, and was the first time a truck was available in a game (Euro Truck Simulator 2) before you could buy a real one.",,yes,,,,,,2020s_trailer,,56,,1,,"1,2,3","3,8,2","renault_t_evo,2020s_trailer_goods",2,,,67,,121,60,45,,,2,3,18,54,,,,0x0x0,460hp
Horse Cart Trailer,horse_cart_trailer,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,rubber_tyred_horse_cart_flatbed,4,,,,,,,,,,,,,,,,,,
Horse-Drawn Cart,horse_cart,articulated_lorry,2541,,2541,FEAT_ROADVEHS,1700,1,1,enable_lorries,Heavy Goods,DIRT_ROAD,15,200,12,4,1,10,20,8,1,horse,,"Early two-wheeled horse carts used rigid shafts, with the horse itself balancing the weight of the cart.",,,,,yes,yes,,horse_cart_trailer,,,,,,"1,2","5,3","horse,horse_cart_trailer",5,,horse,8,,9,12,0,,,2,2,4,8,,,,0x0x0,
Dray Trailer,dray_trailer,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,dray_trailer,4,,,,,,,,,,,,,,,,,,
Horse-Drawn Dray,dray,articulated_lorry,2741,,2741,FEAT_ROADVEHS,1800,1,1,enable_lorries,Heavy Goods,DIRT_ROAD,16,120,12,4,1,15,20,12,1,horse,,"Drays were sturdy, low-sided wagons used for transporting heavy cargo. Some breweries still use horse-drawn drays to deliver beer locally.",,,,,yes,yes,,dray_trailer,,,,,,"1,2","5,4","horses,dray_trailer",5,,horses,10,,12,13,0,,,2,2,6,12,,,,0x0x0,
Rubber Horse Cart Trailer,rubber_tyred_horse_cart,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,,,,,rubber_tyred_horse_cart_flatbed,4,,,,,,,,,,,,,,,,,,
Rubber-Tyred Horse Cart,rubber_horse_cart,articulated_lorry,2925,,2925,FEAT_ROADVEHS,1892,6,1,enable_lorries,Heavy Goods,DIRT_ROAD,18,35,12,4,1,15,20,14,1,horse,,"Pneumatic tyres offered lower rolling resistance on bumpy ground, and more cushioning for delicate cargo.",,,,,yes,yes,,rubber_tyred_horse_cart,,,,,,"1,2","5,4","horses,rubber_tyred_horse_cart",5,,horses,11,,14,15,0,,,2,2,7,14,,,,0x0x0,
Rubber Tyred Cart,rubber_tyred_cart,trailer,0,,-1,,,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,,,,,rubber_tyred_cart,4,,,,,,,,,,,,,,,,,,
Traction Engine,traction_engine,articulated_lorry,2879,,2879,FEAT_ROADVEHS,1869,1,1,enable_lorries,Heavy Goods,ROAD,16,52,32,5,19,85,18,36,1,steam,-4,"Traction engines were developed from portable steam engines, applying the power to the wheels so the engine could be driven to where it was needed without requiring horses.",yes,,,,yes,yes,,rubber_tyred_cart,,,,1,,"1,2,3","6,5,5","traction_engine,rubber_tyred_cart,rubber_tyred_cart",6,,,31,,29,13,0,2,,3,3,12,18,3.4,2.0,2.5,32x29x24,
Fordson Snow Machine,fordson_snow_machine,articulated_lorry,3291,,3291,FEAT_ROADVEHS,1929,1,1,enable_easter_eggs,Heavy Goods,DIRT_ONLY,20,15,12,5,4,20,20,12,1,diesel,-2,Horse should not be used in deep loose snow. Use Fordson Snow Machine!,yes,,,,yes,yes,,rubber_tyred_cart,,,,1,,"1,2","4,4","fordson_snow_machine,rubber_tyred_cart",4,,,11,,16,16,0,,,2,2,6,12,3.4,2.0,2.5,32x29x24,
Scarab Trailer,scammell_scarab_trailer,special/scarab_trailer,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Scammell Scarab,scammell_scarab,special/scarab,3481,,3481,FEAT_ROADVEHS,1948,1,1,enable_lorries,Heavy Goods,ROAD,43,20,25,5,1.5,35,20,10,1.7,diesel,-4,The Scarab was traditionally used to transport goods and mail from stations to nearby towns.,,,,,,,,scammell_scarab_trailer,,,,1,,"1,2","1,4","scammell_scarab,scammell_scarab_trailer",2,,,8,-30,20,35,0,,,2,2,5,10,,,,0x0x0,
Horse-Drawn Carriage,horse_carriage,articulated_bus,541,,541,FEAT_ROADVEHS,1700,1,1,enable_buses,Bus,DIRT_ROAD,14,180,12,4,2,15,20,10,1,horse,,Early carriages used unsprung solid axles and were uncomfortable to ride for more than short distances.,,,,,,,,,150,,"horses,",,"1,11","horses,","5,4","horses,horse_carriage",5,,horses,8,,11,11,0,,,2,2,5,10,,,,0x0x0,
Stagecoach,stagecoach,articulated_bus,741,,741,FEAT_ROADVEHS,1800,1,1,enable_buses,Bus,DIRT_ROAD,18,110,12,4,1,15,20,12,1,horse,,Stagecoaches were designed to swap horses regularly for faster journeys.,,,,,,,,,,,"horses,",,"1,11","horses,","5,4","horses,stagecoach",5,,horses,10,,13,15,0,,,2,2,6,12,,,,0x0x0,
Shillibeer Omnibus,shillibeer_omnibus,articulated_bus,799,,799,FEAT_ROADVEHS,1829,6,1,enable_buses,Bus,DIRT_ROAD,18,85,12,4,1,15,20,18,1,horse,,"Omnibus services originated in France, carrying more passengers than stagecoaches without needing to be booked. George Shillibeer built some of these early omnibuses, and brought them to London.",,,,,,,,,,,"horses,",,"1,17","horses,","5,4","horses,shillibeer_omnibus",5,,horses,13,,15,15,0,,,2,2,9,18,,,,0x0x0,
Double Decker Horsebus,double_decker_horsebus,articulated_open_bus,855,,841,FEAT_ROADVEHS,1857,2,1,enable_buses,Bus,DIRT_ROAD,18,62,12,4,1,15,20,26,1,horse,,"As coachbuilding technology improved, horse buses moved on from their stagecoach based origins into a vehicle more suited for urban passenger transport.",,,,,,,,,,,"horses,",,"1,25","horses,","5,4","horses,double_decker_horsebus",5,,horses,15,,17,15,0,,,2,2,13,26,,,,0x0x0,
Hancock Enterprise,hancock_enterprise,bus,807,,807,FEAT_ROADVEHS,1833,1,1,enable_buses,Bus,DIRT_ROAD,18,52,20,4,4,30,20,22,1,steam,2,Walter Hancock's steam buses were the first successful self-propelled road vehicles.,,,,,,,,,,,,,,,,,8,,,22,4,25,15,0,,,1,1,22,22,,,,0x0x0,
Inshaw Steam Carriage,inshaw_steam_carriage,open_bus,903,,903,FEAT_ROADVEHS,1881,2,1,enable_buses,Bus,DIRT_ROAD,18,22,18,4,4,25,20,18,1,steam,2,"John Inshaw built a steam carriage for use in Birmingham, but sadly the Red Flag Act limiting carriage speeds was not lifted until 1896, so it remained at the prototype stage.",,,,,,,,,,,,,,,,,5,,,18,,18,15,0,,,1,1,18,18,,,,0x0x0,
Daimler Charabanc,daimler_charabanc,open_bus,939,,939,FEAT_ROADVEHS,1899,2,1,enable_buses,Bus,ROAD,20,22,14,4,5,25,20,24,1,diesel,3,"Charabancs were open buses, typically used for short works outings due to their uncomfortable seating.",,,,,,,,,,,,,,,,,7,,,18,,22,16,0,,,1,1,24,24,,,,0x0x0,
LGOC B-Type,lgoc_b_type,open_bus,1111,,1111,FEAT_ROADVEHS,1911,1,1,enable_buses,Bus,ROAD,22,20,15,5,5,30,20,36,1,diesel,3,"The B-type was built in Walthamstow, London and gained electric lighting from 1912",,,,,,,,,,,,,,,,,8,,,24,,28,18,0,,,1,1,36,36,,,,0x0x0,
AEC S-Type,aec_s_type,open_bus,1201,,1201,FEAT_ROADVEHS,1920,1,1,enable_buses,Bus,ROAD,22,20,16,5,5,30,20,54,1,diesel,3,The AEC S-type was an evolution of the K-type chassis which placed the driver alongside the engine for a shorter overall length.,,,,,,,,,,,,,,,,,8,,,31,,32,18,0,,,1,1,54,54,,,,0x0x0,
Guy BTX,guy_btx,bus,1261,,1261,FEAT_ROADVEHS,1926,12,1,enable_buses,Bus,ELRD,30,40,18,5,5,60,20,48,1,electric,3,"The Guy BTX was a modification of an existing bus chassis, fitting an electric motor powered from trolley wires. ",,,,,,,,,,,,,,,,,8,,,38,,45,24,0,,,1,1,48,48,11.0,2.5,3.8,103x36x37,
Leyland Tiger TS,leyland_tiger_ts,bus,1271,,1271,FEAT_ROADVEHS,1927,3,1,enable_buses,Bus,ROAD,42,20,17,4,5,94,20,35,1,diesel,3,The Leyland Tiger coach featured a powerful 6-cylinder petrol engine.,,,,,,,,,,,,,,,,,8,,,37,,56,34,0,,,1,1,35,35,,,,0x0x0,
AEC Regent I,aec_regent_1,bus,1291,,1291,FEAT_ROADVEHS,1929,1,1,enable_buses,Bus,ROAD,29,20,20,7,7,90,20,50,1,diesel,3,The Tilling-bodied AEC Regent has a covered upper deck for passenger comfort in all weather.,,,,,,,,,,,,,,,,,8,,,42,,49,23,0,,,1,1,50,50,,,,0x0x0,
Sentinel Steam Bus,sentinel_steam_bus,bus,1311,,1311,FEAT_ROADVEHS,1931,1,1,enable_buses,Bus,ROAD,36,18,19,5,5,100,20,32,1,steam,-3,Several buses were built on Sentinel steam lorry chassis.,,,,,,,,,,,,,,,,,7,,,36,,50,29,0,,,1,1,32,32,,,,0x0x0,
Northern General SE6,northern_general_se6,bus,1331,,1331,FEAT_ROADVEHS,1933,1,1,enable_buses,Bus,ROAD,40,20,16,4,6,102,20,44,1,diesel,3,"The SE6 used a side-mounted engine to give more passenger space, and pioneered many features used in modern single-decker buses.",,,,,,,,,,,,,,,,,8,,,38,,60,32,0,,,1,1,44,44,,,,0x0x0,
Dennis Ace,dennis_ace,bus,1332,,1332,FEAT_ROADVEHS,1933,3,2,enable_buses,Bus,ROAD,48,25,15,5,4,90,20,20,1,diesel,0,The Dennis Ace was a smaller bus based on a small lorry chassis.,,,,,,,,,,,,,,,,,6,,,27,,51,39,0,,,1,1,20,20,,,,0x0x0,
Bristol L,bristol_l,bus,1371,,1371,FEAT_ROADVEHS,1937,1,1,enable_buses,Bus,ROAD,44,15,15,4,5,100,20,38,1,diesel,1,The Bristol L was a single decker bus with art deco interior styling.,,,,,,,,,,,,,,,,,7,,,35,,61,35,0,,,1,1,38,38,8.4,2.4,2.6,78x35x25,
AEC Regent II,aec_regent_2,bus,1451,,1451,FEAT_ROADVEHS,1945,9,1,enable_buses,Bus,ROAD,38,20,20,7,7,115,20,57,1,diesel,3,"AEC restarted post-war bus production with the Regent II, a minor update of the Regent I chassis.",,,,,,,,,,,,,,,,,8,,,52,,65,31,0,,,1,1,57,57,,,,0x0x0,
Bristol Lodekka,bristol_lodekka,bus,1491,,1491,FEAT_ROADVEHS,1949,6,1,enable_buses,Bus,ROAD,42,20,18,6,6.5,120,20,58,1,diesel,3,"The Bristol Lodekka was designed for routes with low bridges, being shorter than a standard double-decker body.",,,,,,,,,,,,,,,,,7,,,50,,70,34,0,,,1,1,58,58,9.1,2.4,3.9,85x35x38,120hp
Sunbeam F4 Park Royal,sunbeam_park_royal,bus,1502,,1502,FEAT_ROADVEHS,1950,7,2,enable_buses,Bus,ELRD,30,20,17,5,5,75,20,56,1,electric,3,"Sunbeam Commercial Vehicles had started as an independent manufacturer, but by the 1950s had been sold to Guy Motors, the resultant conglomerate being the largest British trolleybus manufacturer.",,,,,,,,,,,,,,,,,8,,,39,,50,24,0,,,1,1,56,56,11.0,2.5,3.8,103x36x37,
Bristol LS,bristol_ls,bus,1501,,1501,FEAT_ROADVEHS,1950,1,1,enable_buses,Bus,ROAD,45,15,17,4,5,120,20,42,1,diesel,1,"The Bristol LS was one of the first successful buses with an underfloor engine, and featured unitary construction rather than a separate body and chassis.",,,,,,,,,,,,,,,,,7,,,42,,66,36,0,,,1,1,42,42,9.1,2.4,2.6,85x35x25,120hp
AEC Routemaster,aec_routemaster,bus,1541,,1541,FEAT_ROADVEHS,1954,9,1,enable_buses,Bus,ROAD,40,40,25,7,7.5,115,20,72,1,diesel,3,"The Routemaster is the quintessential London bus, with an long service life including use on dedicated heritage routes even after most were withdrawn.",,,,,,,,,,,,,,,,,8,,,66,,72,32,0,,,1,1,72,72,,,,0x0x0,
BMMO CM5T,bmmo_cm5t,bus,1581,,1581,FEAT_ROADVEHS,1958,6,1,enable_buses,Bus,ROAD,76,15,16,4,6,138,24,34,1.1,powerful,2,"The ""Midland Red"" motorway services featured this turbocharged coach, capable of high speeds in the era before motorway speed limits.",,,,,,,,,,62,,,,,,,8,,,42,,99,61,50,,,1,1,34,34,,,,0x0x0,
Leyland Leopard,leyland_leopard,bus,1582,,1582,FEAT_ROADVEHS,1958,1,2,enable_buses,Bus,ROAD,55,30,25,4,7,140,20,57,1,coach,3,"The Leyland Leopard was common throughout the UK, with some examples still in commercial use in the early 2000s.",,,,,,,,,,,,,,,,,8,,,68,,86,44,0,,,1,1,57,57,,,,0x0x0,
Sunbeam F4A Roe,roe_trolleybus,bus,1601,,1601,FEAT_ROADVEHS,1960,2,1,enable_buses,Bus,ELRD,30,-1,19,5,5,95,20,65,1,electric,3,"Although most UK trolleybus systems were being (or had been) decommissioned by the early 1960s, new bodywork was still produced for the Sunbeam chassis.",,,,,,,,,,,,,,,,,8,,,47,,56,24,0,,,1,1,65,65,11.0,2.5,3.8,103x36x37,
Bedford VAL,bedford_val,bus,1631,,1631,FEAT_ROADVEHS,1963,6,1,enable_buses,Bus,ROAD,55,20,18,4,10,143,20,52,1,coach,3,"The Bedford VAL had a distinguished film career, featuring prominently in The Italian Job with Harrington Legionnaire coachwork and in Magical Mystery Tour with a Plaxton Panorama body.",,,,,,,,,,,,,,,,,8,,,54,,84,44,0,,,1,1,52,52,11.0,2.5,,103x36x0,
